,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
44,54,91.1748,0.054,0.5607,97.3323,0.0594,0.6116,167.851,0.8213,1.5175,280.8576,4.1377,0.0239,317.9033,2.4003,0.0197,378.196,9.4868,0.2627,415.9068,0.6788,0.1492,457.4316,5.3287,0.8196,1965.7483,493.4251,72.9776,-17.08395975,1.85757,1.169459,160.890671
45,55,77.5922,0.0053,0.517,83.0892,0.077,0.5084,170.24,0.839,1.4173,278.1219,4.0643,0.0191,309.116,2.281,0.0037,341.3571,0.779,0.0866,360.3599,5.7784,0.3771,395.4754,8.0595,0.3442,2079.536,476.0574,78.3649,-16.03884185,1.876601,1.153813,165.889343
46,56,90.453,0.0732,0.5326,97.1131,0.0063,0.5588,168.2561,0.9653,1.4797,277.2248,3.883,0.0308,309.8372,2.2705,0.0326,363.5144,12.5013,0.234,391.2768,0.751,0.1843,419.5123,1.6009,0.4039,2001.8988,481.9323,78.3669,-15.52309138,1.880832,1.164417,169.297943
47,59,79.7263,0.0277,0.6246,94.6942,0.033,0.6178,169.285,0.5698,1.743,304.2312,3.0982,0.004,317.9087,2.6662,0.0089,374.8321,0.366,0.0441,411.4732,4.8319,0.229,444.8912,12.0915,0.5853,1994.6903,528.7399,73.3794,-16.04323441,1.823643,1.166685,169.849945
48,61,74.2693,0.0762,0.5911,88.5854,0.0019,0.6453,171.6488,0.6077,1.7692,279.5846,3.1388,0.0309,328.8024,3.3166,0.016,373.8845,0.6919,0.2759,410.1158,2.6119,0.0383,462.1909,13.8481,0.8867,2026.4977,552.2809,70.9014,-16.94201699,1.807431,1.162464,168.892334
49,63,82.6669,0.0014,0.5482,86.6756,0.0012,0.611,161.9057,1.1501,1.8021,292.0878,4.1278,0.0387,325.5721,3.5082,0.1192,346.693,6.6801,0.1346,369.9102,0.3827,0.1787,399.2096,8.1503,0.4384,2057.8256,513.5346,81.259,-17.52823683,1.877446,1.156704,171.300247
50,65,83.1133,0.0342,0.5468,89.4584,0.034,0.5144,163.8111,1.9248,1.3206,270.7272,4.5981,0.07,280.1722,6.0183,0.2533,308.5284,4.7174,0.0416,370.8999,0.5242,0.9836,388.9935,0.543,0.1771,2058.7286,441.3032,94.4484,-15.82686897,1.949849,1.155303,157.270447
51,66,86.9255,0.0685,0.6244,100.715,0.047,0.523,167.042,1.526,1.3561,285.7479,3.7973,0.0387,297.3304,4.6346,0.1269,316.2734,6.537,0.1176,416.5009,0.8778,1.0461,436.4793,0.8325,0.2462,1983.4873,450.1081,88.4741,-15.25225806,1.928696,1.165496,153.61496
52,69,73.9159,0.0314,0.5986,96.3792,0.0564,0.5078,172.3168,0.4769,1.2289,329.9697,2.6563,0.0498,347.3926,2.7674,0.0136,389.9907,3.5945,0.2653,417.7015,1.3128,0.1781,532.0357,10.6242,1.8372,1988.6403,502.1911,55.466,-14.38221545,1.785358,1.167033,156.901718
53,70,67.9337,0.0294,0.5304,87.4421,0.0648,0.3977,173.9396,0.5044,1.2385,322.195,3.1167,0.0537,331.2587,1.8072,0.0788,356.0039,2.3122,0.1301,383.6368,2.976,0.2994,492.5058,10.563,1.4738,2064.507,482.4966,57.2872,-14.12261456,1.819622,1.155571,155.806061
54,71,90.3894,0.0039,0.5187,109.4462,0.0352,0.4169,176.296,0.8343,1.0596,305.6363,3.246,0.0645,333.1368,2.8038,0.0358,356.161,7.4854,0.2326,403.0393,0.4437,0.0513,486.6066,4.2059,0.8616,1969.4282,430.0953,61.1817,-14.64551864,1.876522,1.167678,153.537689
55,72,85.3774,0.0007,0.4463,110.5335,0.0444,0.3787,174.7393,1.3014,0.8589,283.4821,3.6625,0.1121,309.0197,4.5583,0.0633,331.8589,3.0209,0.0317,378.0295,0.5171,0.0875,449.5247,2.5115,0.4673,2017.6731,375.3064,66.8539,-13.7865202,1.934693,1.160554,151.960785
56,74,92.2743,0.0034,0.4823,112.6162,0.0024,0.3381,174.5814,1.3228,0.9324,280.7892,2.9262,0.0852,301.6803,2.549,0.022,331.2219,5.3258,0.168,407.4609,0.7607,0.0305,487.817,3.7996,0.4402,1963.5202,375.4503,58.5801,-14.12606586,1.905391,1.168221,151.390778
57,75,76.112,0.0207,0.4753,100.1393,0.0077,0.3001,174.8938,1.0031,0.8981,290.3714,3.1218,0.0811,298.4205,2.6612,0.0416,354.6691,0.5948,0.0705,362.8706,2.7124,0.1429,494.2229,8.545,0.9279,2061.6479,409.4107,49.9245,-13.31676622,1.843085,1.155434,151.652344
58,76,79.9097,0.0357,0.5111,106.1026,0.011,0.3865,174.9834,0.7045,0.8976,308.8936,3.147,0.0395,329.1669,2.2426,0.0859,398.5916,1.8398,0.1431,409.3891,1.8309,0.1168,566.3842,9.4304,1.3928,1982.6767,441.9711,43.8356,-12.01882453,1.785339,1.167124,151.128174
59,77,71.0955,0.0443,0.5102,101.7458,0.027,0.3807,172.3273,0.6797,0.9067,327.6667,3.7371,0.0094,336.9094,2.0686,0.0618,372.6554,0.872,0.1752,398.1037,2.0031,0.1158,539.132,9.595,1.4458,2037.7625,443.2518,47.3901,-11.91421862,1.795784,1.15915,150.110107
60,78,84.8067,0.0199,0.5313,108.8221,0.0309,0.3894,172.0794,0.7063,1.0673,328.6725,3.5274,0.0268,335.8966,3.2481,0.1002,380.027,3.4109,0.1763,396.6191,1.3262,0.2446,479.0798,5.8962,1.4442,2013.3817,424.8642,55.221,-14.30509447,1.852361,1.161532,149.894073
61,79,97.0161,0.0166,0.5709,117.0426,0.0227,0.4355,168.0532,0.7199,1.452,295.9177,8.3932,0.4239,349.4759,3.5136,0.0209,374.5051,2.2171,0.0358,417.3362,0.2014,0.4666,470.1289,1.1642,1.0031,1944.2318,410.5608,66.7697,-15.45293576,1.920039,1.170227,152.272339
62,80,89.8214,0.0038,0.5127,105.2439,0.0044,0.3847,164.7709,1.2089,1.3835,240.6048,7.9695,0.3699,333.4733,3.0532,0.2,351.8603,1.1258,0.2278,368.5348,1.536,0.1235,415.5245,0.4241,0.7974,2039.8768,386.4266,74.7672,-14.74441422,1.974852,1.156791,156.688461
63,81,98.0851,0.0177,0.5148,113.8625,0.0144,0.3937,167.7301,1.6505,1.1446,242.6119,7.2018,0.3022,318.1466,3.0644,0.0501,333.1082,2.4399,0.0517,412.7463,0.3224,0.3611,454.2767,0.8238,0.4825,1945.7522,374.2572,73.3336,-15.94910792,1.975482,1.170072,160.570602
64,82,89.5913,0.0042,0.4398,102.594,0.0041,0.3331,167.6032,1.4898,0.9439,269.0774,6.17,0.2707,309.4657,2.9783,0.0257,329.8901,3.309,0.0269,366.8742,0.2815,0.2137,409.5679,1.2322,0.484,2047.3262,368.9878,67.8719,-15.57573947,1.946617,1.15669,162.838638
65,83,89.6626,0.0055,0.484,105.6279,0.0078,0.3606,170.3119,1.0158,1.0132,304.8634,3.2333,0.1104,316.1319,2.5324,0.0064,344.8456,7.4059,0.1733,388.5345,0.6082,0.1432,453.4265,3.3858,0.7773,2008.5072,411.7711,58.9306,-14.96818428,1.874053,1.16275,162.77623
66,84,81.7357,0.0184,0.5131,99.0598,0.0196,0.3471,169.0903,0.8158,0.9799,298.5489,3.1715,0.0571,311.3123,2.5819,0.019,377.665,3.5232,0.2272,394.6881,2.0428,0.0838,502.5124,7.1917,1.0912,2006.6018,448.2468,52.4671,-14.22370642,1.81251,1.164095,160.71106
67,86,84.177,0.0151,0.5178,102.6778,0.0603,0.3614,179.4255,0.7224,0.5935,303.982,2.8909,0.055,340.2021,2.7962,0.0223,390.7847,3.945,0.1141,399.9324,1.261,0.0856,527.5307,7.5756,1.0089,1993.807,443.4626,54.9837,-10.52980605,1.812757,1.165238,152.34198
68,87,80.2633,0.0102,0.5215,96.964,0.0999,0.3492,176.6716,0.8944,0.6549,307.4071,3.1254,0.0245,339.0903,3.2578,0.0029,356.2586,4.393,0.1469,371.6296,0.6747,0.1203,461.3066,5.8171,0.7373,2050.541,422.0963,65.6238,-11.37261473,1.873171,1.156315,148.698822
69,88,90.0579,0.0051,0.5896,100.5076,0.127,0.3962,173.906,0.9225,0.9201,309.7158,4.6728,0.0789,327.4355,3.2705,0.0954,349.0268,5.416,0.057,392.9016,0.2578,0.0684,447.0485,2.7977,0.7415,1999.2723,417.3812,73.1793,-13.1273837,1.911278,1.162958,148.159927
70,89,90.658,0.007,0.5983,102.4839,0.0573,0.4819,175.0168,0.8177,1.1731,313.0071,6.6797,0.259,341.9204,3.7614,0.0268,352.2726,4.2419,0.0704,396.2289,0.3144,0.0924,456.2238,2.4531,0.9361,1985.8807,439.778,76.5911,-14.04624659,1.909231,1.164927,151.516739
71,90,82.511,0.0095,0.5695,93.4361,0.0285,0.4788,173.3169,0.8606,1.1832,312.3672,3.6898,0.1063,326.702,3.7948,0.0909,352.0004,6.3488,0.1176,366.8123,0.1953,0.0931,444.0966,5.0406,0.9305,2048.0447,461.3681,72.7094,-15.64896988,1.883738,1.157216,156.738464
72,91,90.8631,0.0072,0.6377,94.7362,0.0065,0.5156,171.071,0.8018,1.3844,299.9962,3.1757,0.0781,307.9019,2.5622,0.0315,382.3629,7.699,0.2006,413.3142,0.5768,0.0579,483.1124,7.5753,0.9978,1975.5967,499.9038,67.0643,-18.12092002,1.840898,1.168422,161.509827
