,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
50,53,52.1785,0.8509,2.8784,83.7243,1.2496,2.6327,167.3324,0.3203,20.4858,201.8357,0.1278,2.5375,253.4862,3.2811,6.7782,304.7604,8.1285,144.8326,343.2217,7.3382,5.8912,520.828,4.3097,196.4991,1004.9045,396.6216,529.362,-11.42570208,1.790908,1.315661,122.0364
51,54,50.586,0.5937,2.2944,78.3845,1.7119,3.4678,151.5436,0.2509,11.077,174.6788,0.0959,4.4135,278.4336,5.9096,67.5521,312.8804,8.0078,29.1876,332.9663,8.5291,26.5642,486.3304,10.6926,204.7607,1117.4681,579.1893,506.9815,-10.32059422,1.809687,1.288241,118.467445
52,55,45.444,2.7428,3.3387,67.3848,1.9119,5.8277,165.5529,0.1063,23.0061,191.9795,0.0295,0.4112,286.0011,4.6608,1.6412,305.4746,11.4447,86.8854,331.6741,9.3039,22.53,503.1922,13.1099,355.7875,1133.367,553.1463,292.09,-9.642130407,1.793895,1.284623,117.928749
53,56,66.8218,0.6348,66.0167,93.9332,0.7314,69.5296,184.1371,0.9012,488.0883,251.0353,5.6129,591.9017,302.4692,14.3366,135.3446,334.8751,7.4191,128.6154,366.401,7.6435,9.8935,590.2646,17.5212,30.8226,935.5535,469.4831,10854.571,-8.623493424,1.751899,1.316719,121.098343
54,57,66.6504,0.7438,1.2277,87.7739,2.5746,3.0851,187.7965,0.117,5.3804,209.7581,0.2166,0.9222,308.5966,6.3736,19.9469,324.6947,4.4915,6.5733,352.2404,11.3729,19.4622,595.1714,10.6078,53.2807,1173.6441,374.5255,52.6696,-1.795117857,1.741757,1.277216,126.627884
55,58,79.1045,2.6047,1.3277,90.2508,2.6978,3.5624,191.4786,0.0319,2.7693,268.3279,0.9727,3.2242,301.1236,13.1051,47.1504,312.8871,5.0527,1.1782,339.311,9.3079,3.8477,606.2926,6.7012,40.8712,1063.5122,329.2958,45.5507,-0.620921145,1.746931,1.297765,129.627731
56,59,75.785,10.9582,4.7796,97.1196,0.5422,1.9521,190.8476,1.1359,1.1035,257.7242,21.0853,40.8906,290.5084,7.3155,2.7948,324.6735,0.4265,1.4777,333.9477,7.2524,0.4359,567.1412,11.3644,18.5333,958.8549,329.8319,6.1015,-1.392130935,1.792842,1.318285,127.869614
57,60,80.888,5.4104,1.1965,90.0408,0.7478,1.692,189.1829,0.5517,5.4725,229.4578,10.0988,1.5338,266.1026,3.2029,1.2151,294.3067,5.5926,0.2338,322.7286,8.2929,0.2298,465.2136,11.9155,1.3147,1279.2594,405.7912,125.889,2.044804086,1.877105,1.259112,122.816765
58,61,75.2182,11.2362,1.1893,89.4969,0.619,2.172,184.5039,6.5324,3.775,236.6223,17.9727,5.2525,291.2923,4.3598,0.6973,321.9019,7.7004,0.8388,333.6971,2.7493,0.5189,474.4975,13.0418,0.6499,1105.8651,425.7053,151.8766,0.716239914,1.899452,1.290993,117.875336
59,62,74.9894,10.2815,0.9689,83.0934,0.2818,2.3121,195.7989,1.9453,3.8792,263.1549,20.9637,8.2801,294.6764,5.108,1.9706,319.0107,3.257,1.1208,330.2432,12.025,0.5547,483.2058,17.2231,3.8088,1104.6122,457.368,105.3701,-1.374121398,1.868035,1.290051,118.112724
60,63,66.4233,0.4492,3.1938,85.1672,5.2332,2.8028,192.8068,0.1281,4.798,206.0422,1.0989,0.7717,299.2091,5.8945,13.9246,313.726,6.0049,1.2023,343.5651,17.1047,21.303,536.1127,27.9718,40.2987,1186.5731,499.6068,5.8587,-3.089419983,1.789255,1.272637,123.328606
61,65,40.261,1.9213,2.093,72.2795,0.7391,1.3302,146.6391,0.1308,3.7685,168.4824,0.5046,4.5514,289.9139,3.7656,2.3899,315.2257,5.0192,26.2895,345.2183,6.8977,23.5468,641.7544,0.6788,83.3433,1187.2623,314.9316,171.1722,-5.759224029,1.705866,1.280926,131.716995
62,66,57.0542,1.6331,1.9443,83.8446,0.6156,2.0828,156.0331,0.9036,13.7188,211.3495,0.409,1.36,281.7124,6.0821,39.4591,297.643,7.6081,14.441,325.5608,11.6106,13.5018,538.0412,9.6967,85.6886,1154.9963,470.9632,69.3337,-7.904366964,1.768919,1.282351,130.579041
63,67,70.4877,1.9265,2.3662,97.0604,0.984,2.4402,157.9331,1.2117,28.7189,250.3675,26.6854,118.4045,281.5294,3.9593,1.87,315.1124,11.4403,4.6659,318.8313,1.7659,2.5353,500.8921,14.2791,96.0687,950.8463,483.7893,29.9708,-11.96316439,1.832002,1.323482,127.549744
64,68,54.9353,0.9693,3.2302,84.8506,0.1901,3.4565,147.9403,12.4703,9.7721,195.1267,25.1564,2.6794,226.2088,3.2449,0.302,292.8945,5.5076,0.6309,331.3023,8.6851,3.7403,406.9145,14.8568,3.1066,1278.5741,635.363,296.3413,-5.873619102,1.912536,1.258276,125.623917
65,69,58.9317,4.2382,3.4231,99.561,1.7006,3.6111,134.0167,37.352,2.612,173.4471,12.3209,12.6052,300.1577,3.0877,1.457,310.8026,1.4019,0.1666,327.4516,6.8184,5.3139,442.9382,15.8143,4.3386,1107.352,574.3422,360.827,-5.882969001,1.940872,1.291042,123.047035
66,70,64.289,7.0501,2.565,105.7404,3.8997,4.9513,140.5086,41.9591,7.9888,174.2144,8.9619,11.0146,300.7188,3.269,2.7243,323.7858,4.5973,0.816,329.181,3.4654,0.2071,465.0659,21.2579,0.4881,1024.1365,572.3213,371.4919,-4.985629701,1.930943,1.306319,121.893524
67,71,61.2881,1.8952,2.5128,89.4637,0.562,1.9786,159.2646,5.664,4.5218,191.7966,1.6413,5.9171,214.7619,17.4579,0.1871,324.9126,2.6282,0.7395,346.569,9.8537,0.8955,440.3888,22.5427,4.4812,1339.016,527.0578,322.764,0.773155071,1.891336,1.247889,123.03109
68,72,76.7042,2.8619,6.6562,100.2163,0.6633,1.435,179.8175,0.4762,13.9172,248.8083,21.6621,81.8851,276.3413,2.1908,15.0215,326.894,3.83,1.6334,354.475,9.0179,5.1664,554.0171,26.7882,81.2002,1015.2985,409.4859,55.3729,-2.41214844,1.793689,1.309264,122.506668
69,73,38.3262,0.7272,2.0246,73.3014,0.9556,1.5887,156.8979,0.3918,3.7331,184.5873,0.1213,5.0728,281.3226,2.1723,48.0618,320.7573,3.4993,6.1892,351.2931,8.1377,14.314,627.9087,9.6095,132.118,1175.2512,292.1221,181.6365,-1.242407049,1.724009,1.284022,121.831192
70,74,-102.1465,0.1648,0.8252,44.45,0.8613,1.2022,67.6881,0.471,1.3118,183.1902,0.1065,5.1389,268.9767,1.1273,28.4286,320.8266,3.2225,3.5007,370.3173,7.0652,9.6954,650.7318,6.2427,131.3897,1299.3649,255.7005,174.7142,-1.733245371,1.708494,1.26443,118.984993
71,75,70.6939,0.6304,1.1083,92.3933,0.4084,1.7705,181.4552,0.0249,3.4773,251.317,0.188,0.7942,283.1891,3.5098,12.5502,318.3964,2.1038,25.6077,371.2681,6.8584,10.9105,622.148,3.0606,155.5121,1054.2193,166.037,146.6495,-9.973832193,1.745514,1.319218,114.452469
72,76,61.903,0.3418,2.3172,86.3119,0.8089,2.8159,174.1582,0.0931,5.6804,180.9944,0.0002,2.3512,222.9955,8.5571,32.6379,274.8992,4.7585,4.7123,340.9251,10.2878,3.2648,446.3288,54.723,17.9345,1245.9055,465.2442,19.7774,-5.005584519,1.829041,1.268176,113.485512
73,77,71.0696,1.4501,2.4815,91.1434,1.6807,2.9541,175.6969,0.6828,7.5352,198.538,26.9575,18.164,254.8519,0.0696,0.5052,286.3278,5.0406,0.7194,322.3985,7.4558,0.6438,431.3079,46.1212,0.1709,1161.5346,488.2437,146.3442,-4.375689981,1.881402,1.283378,115.263184
74,78,75.7378,4.7018,2.3666,96.9699,0.9289,2.4923,177.7074,3.7615,5.51,193.1942,33.9419,12.3922,295.9024,4.2771,1.0641,299.8254,0.146,0.3642,320.8152,5.9385,0.4826,460.3838,33.9626,0.5899,1067.9165,470.8,131.5093,-3.532191039,1.895805,1.300945,120.102455
75,79,62.2716,1.8129,1.6518,86.9895,0.2024,2.209,170.2296,0.0632,0.3701,179.394,0.1321,8.5692,212.6782,18.2174,0.1753,292.333,4.2837,0.8534,307.0518,5.9773,0.6962,429.5467,20.157,6.4627,1346.0091,481.3011,360.933,2.201493333,1.89244,1.248371,127.305031
76,80,82.1217,2.5822,2.5373,103.8213,0.1762,2.5619,179.4867,3.0346,3.6766,221.4023,34.719,13.6466,267.594,0.1897,1.0618,305.8834,4.3001,1.2829,317.694,5.8043,0.4638,502.0657,19.0386,0.6458,1066.5764,514.4552,112.4574,2.700112779,1.847597,1.297456,132.631882
77,81,73.1467,3.3735,2.3976,94.4454,0.276,2.7454,152.267,0.7245,1.0973,180.7056,5.8382,3.8533,206.9435,29.3302,11.5073,341.4532,4.1352,1.1829,369.5019,6.3782,0.7215,490.4562,17.2538,0.6138,1220.5071,599.3264,163.3941,6.112261155,1.837899,1.266568,136.209473
78,82,67.0669,3.8986,2.8407,93.4367,0.2627,2.9267,110.4136,0.0335,1.8457,174.6882,1.0717,6.1178,197.428,34.7399,16.028,330.0263,4.073,1.0531,420.1456,11.0834,1.4849,484.1826,12.8099,7.0363,1242.8796,652.8149,84.7192,1.807730808,1.85122,1.261383,134.516541
79,83,88.7121,3.4956,11.6284,111.9111,0.3772,2.584,168.5496,0.7251,1.77,224.3808,27.1467,156.1851,286.4069,0.1785,0.6014,312.9087,5.4123,1.5762,400.2114,8.6888,5.9958,516.0515,7.3647,62.6818,921.9452,439.6004,178.4502,-8.928400533,1.859295,1.330407,128.817474
80,84,77.131,4.7666,4.5849,87.6946,1.2301,2.3215,160.1678,0.1666,11.5723,196.0682,8.3333,0.4872,203.9546,20.2361,17.6243,320.2143,4.5416,1.2342,364.186,11.2317,2.7898,441.4237,15.7336,9.8168,1216.3563,662.4669,103.1986,-5.329630683,1.902732,1.267156,124.420464
81,85,78.5358,6.045,5.3807,91.1271,1.864,2.6358,168.8794,0.731,12.8875,205.0568,35.0355,27.0529,267.5161,0.6966,0.6756,305.7426,5.3859,2.972,352.1164,11.451,2.4884,453.2119,18.8495,25.5172,1083.7097,630.2768,114.1164,-7.521460362,1.90846,1.292162,119.569031
82,87,49.3551,0.2791,1.5646,67.7705,1.9897,1.2947,156.1745,0.1216,1.3582,179.9276,0.3387,4.2981,242.7976,5.5573,6.1843,274.6316,6.971,0.3731,296.5997,12.7871,2.6041,447.4816,37.7709,0.8104,1310.875,485.2807,102.2327,-1.52547681,1.834796,1.252327,118.769501
83,88,74.298,0.9511,2.1331,83.4202,0.7341,1.8082,185.6115,0.0282,1.1873,261.2102,1.0942,0.884,280.8121,4.1757,10.4016,296.0513,8.088,9.266,329.4859,9.2983,62.3358,562.1092,26.717,90.1573,1034.3008,304.7325,71.2943,-2.195343735,1.759228,1.307517,119.928284
84,89,64.799,0.9471,1.857,82.2853,0.5481,1.4462,177.8086,0.1773,1.8848,209.4891,0.5592,0.4119,275.6129,3.9132,9.2944,316.5529,7.8914,7.988,333.4945,5.6231,48.7087,583.1154,22.8244,88.9699,1127.4914,300.2062,82.8132,2.443461189,1.730226,1.288904,121.710007
85,90,-165.6361,2.221,7.104,51.8963,1.6053,1.6472,74.661,0.6552,1.7291,185.749,0.0748,0.969,254.9807,7.6532,18.9107,299.9395,10.6052,13.6894,346.6183,8.1751,0.5127,488.042,33.3063,20.6889,1275.6928,411.0441,2.979,5.463415815,1.75352,1.257156,122.118248
